x	rho	u	p	e	rho_E	u_E	p_E	e_E
0.48625	1	0.5	1	2.5	1	0.5	1	2.5
0.48875	1	0.5	1	2.5	1	0.5	1	2.5
0.49125	1	0.5	1	2.5	1	0.5	1	2.5
0.49375	1	0.5	1	2.5	1	0.5	1	2.5
0.49625	1	0.5	1	2.5	1	0.5	1	2.5
0.49875	1	0.5	1	2.5	1	0.5	1	2.5
0.50125	1	0.5	1	2.5	1	0.5	1	2.5
0.50375	1	0.5	1	2.5	1	0.5	1	2.5
0.50625	1	0.5	1	2.5	1	0.5	1	2.5
0.50875	1	0.5	1	2.5	1	0.5	1	2.5
0.51125	1	0.5	1	2.5	1	0.5	1	2.5
0.51375	1	0.5	1	2.5	1	0.5	1	2.5
0.51625	1	0.5	1	2.5	1	0.5	1	2.5
0.51875	1	0.5	1	2.5	1	0.5	1	2.5
0.52125	1	0.5	1	2.5	1	0.5	1	2.5
0.52375	1	0.5	1	2.5	1	0.5	1	2.5
0.52625	1	0.5	1	2.5	1	0.5	1	2.5
0.52875	1	0.5	1	2.5	1	0.5	1	2.5
0.53125	1	0.5	1	2.5	1	0.5	1	2.5
0.53375	1	0.5	1	2.5	1	0.5	1	2.5
0.53625	1	0.5	1	2.5	1	0.5	1	2.5
0.53875	1	0.5	1	2.5	1	0.5	1	2.5
0.54125	1	0.5	1	2.5	1	0.5	1	2.5
0.54375	1	0.5	1	2.5	1	0.5	1	2.5
0.54625	1	0.5	1	2.5	1	0.5	1	2.5
0.54875	1	0.5	1	2.5	1	0.5	1	2.5
0.55125	1	0.5	1	2.5	1	0.5	1	2.5
0.55375	1	0.5	1	2.5	1	0.5	1	2.5
0.55625	1	0.5	1	2.5	1	0.5	1	2.5
0.55875	1	0.5	1	2.5	1	0.5	1	2.5
0.56125	1	0.5	1	2.5	1	0.5	1	2.5
0.56375	1	0.5	1	2.5	1	0.5	1	2.5
0.56625	1	0.5	1	2.5	1	0.5	1	2.5
0.56875	1	0.5	1	2.5	1	0.5	1	2.5
0.57125	1	0.5	1	2.5	1	0.5	1	2.5
0.57375	1	0.5	1	2.5	1	0.5	1	2.5
